id,rubrika,datum,mesec,avtorji,st_besed,cos_podobnost_1,L_podobnost_1,zamik_objav_1[min],id_podobnih_1,cos_podobnost_2,L_podobnost_2,zamik_objav_2[min],id_podobnih_2,cos_podobnost_3,L_podobnost_3,zamik_objav_3[min],id_podobnih_3
125-S,sportal,2023-03-25,202303,"['J. L.', 'STA/Katja Kodba']",236,0.485165,46,4775.0,12154-R,0.38214,79,2337.0,21843-R,0.363556,57,3770.0,17945-R
126-S,sportal,2023-03-25,202303,['S. K.'],646,0.662753,63,3548.0,12143-R,0.66083,62,513.0,12108-R,0.655113,57,3728.0,17945-R
127-S,sportal,2023-03-25,202303,"['Pe. M.', 'STA/Katja Kodba']",340,0.541635,36,2812.0,12132-R,0.534262,50,3545.0,12143-R,0.518501,31,2197.0,1386-R
128-S,sportal,2023-03-25,202303,"['S. K.', 'STA/Katja Kodba']",554,0.651699,28,26.0,12100-R,0.517794,49,3532.0,12143-R,0.507581,55,3712.0,17945-R
129-S,sportal,2023-03-25,202303,['J. L.'],308,0.49405,48,3585.0,12144-R,0.484855,49,3518.0,12143-R,0.482103,54,3698.0,17945-R
130-S,trendi,2023-03-25,202303,['Kaj kuhaš danes'],65,0.105135,51,3088.0,12138-R,0.101852,44,4313.0,21853-R,0.099113,44,2060.0,6447-R
131-S,svet,2023-03-25,202303,"['Matic Tomšič', 'K. M.', 'STA/Katja Kodba']",678,0.799095,66,363.0,6421-R,0.624593,53,3504.0,6464-R,0.609352,43,3590.0,6466-R
132-S,sportal,2023-03-25,202303,['Rok Plestenjak'],964,0.605654,51,3488.0,12143-R,0.561872,50,3668.0,17945-R,0.533974,41,2140.0,1386-R
133-S,sportal,2023-03-25,202303,['S. K.'],456,0.606234,72,3478.0,12143-R,0.575046,64,3658.0,17945-R,0.568703,66,2847.0,12136-R
134-S,sportal,2023-03-25,202303,"['J. L.', 'STA/Katja Kodba']",80,0.387179,62,3257.0,12140-R,0.371314,47,353.0,12106-R,0.367062,43,2078.0,12129-R
135-S,sportal,2023-03-25,202303,['M. P.'],479,0.575165,45,3418.0,12143-R,0.565116,45,2787.0,12136-R,0.533256,55,2070.0,1386-R
136-S,sportal,2023-03-25,202303,['M. P.'],330,0.533462,51,3398.0,12143-R,0.527838,43,3388.0,12142-R,0.517516,50,2025.0,12129-R
137-S,sportal,2023-03-25,202303,['Jaka Lopatič'],1001,0.290124,38,146.0,12105-R,0.274984,82,1378.0,17924-R,0.261697,50,3573.0,17945-R
138-S,svet,2023-03-25,202303,"['Matic Tomšič', 'STA/Katja Kodba']",193,0.441291,73,4831.0,1422-R,0.426935,48,2039.0,1386-R,0.420439,55,4786.0,6480-R
139-S,svet,2023-03-25,202303,"['Matic Tomšič', 'STA/Katja Kodba']",260,0.535086,53,3546.0,17945-R,0.524396,51,3366.0,12143-R,0.502721,50,3424.0,21850-R
140-S,sportal,2023-03-25,202303,['STA/Katja Kodba'],253,0.106364,0,2.0,12103-R,0.084629,51,358.0,1361-R,0.060061,62,4307.0,6471-R
141-S,sportal,2023-03-25,202303,['STA/Katja Kodba'],145,0.483423,67,287.0,1360-R,0.482712,50,3338.0,12143-R,0.4772,63,3144.0,12140-R
142-S,digisvet,2023-03-25,202303,['Matic Tomšič'],570,0.471495,60,3332.0,12143-R,0.461663,59,4731.0,6480-R,0.45681,62,3512.0,17945-R
143-S,sportal,2023-03-25,202303,"['J. L.', 'S. K.']",1056,0.653553,48,292.0,12108-R,0.600301,55,4780.0,12158-R,0.541395,48,1779.0,12126-R
144-S,sportal,2023-03-25,202303,"['M. P.', 'STA/Katja Kodba']",338,0.540529,53,3302.0,12143-R,0.513667,54,3482.0,17945-R,0.506431,46,1929.0,12129-R
145-S,trendi,2023-03-25,202303,['Nina Vogrin'],1001,0.748041,54,3366.0,17945-R,0.736401,53,3186.0,12143-R,0.68992,52,1934.0,17934-R
146-S,sportal,2023-03-25,202303,"['J. L.', 'STA/Katja Kodba']",574,0.087805,39,106.0,1361-R,0.086045,28,5625.0,6495-R,0.067203,79,1094.0,17924-R
147-S,sportal,2023-03-25,202303,['STA/Katja Kodba'],572,0.610164,53,3288.0,17945-R,0.604336,47,3108.0,12143-R,0.582596,50,1760.0,1386-R
148-S,slovenija,2023-03-25,202303,"['K. M.', 'STA/Katja Kodba']",252,0.408866,48,1740.0,1386-R,0.397799,68,1710.0,17933-R,0.386557,50,3088.0,12143-R
149-S,sportal,2023-03-25,202303,['STA/Katja Kodba'],384,0.600936,61,3223.0,17945-R,0.572684,60,3043.0,12143-R,0.562994,56,1670.0,12129-R
150-S,sportal,2023-03-25,202303,['STA/Katja Kodba'],110,0.88737,46,10.0,12109-R,0.397495,47,1402.0,12124-R,0.276689,62,1419.0,12125-R
151-S,svet,2023-03-25,202303,"['K. M.', 'STA/Katja Kodba']",152,0.353508,43,1579.0,6447-R,0.328092,70,4464.0,1422-R,0.317946,56,3027.0,1403-R
152-S,svet,2023-03-25,202303,"['K. M.', 'STA/Katja Kodba']",265,0.591353,81,2805.0,1401-R,0.510598,51,3942.0,6471-R,0.477389,67,3176.0,17945-R
153-S,avtomoto,2023-03-25,202303,['Gregor Pavšič'],312,0.415578,58,1605.0,1386-R,0.39417,56,1223.0,1382-R,0.382917,70,4397.0,1422-R
154-S,sportal,2023-03-25,202303,['B. B.'],630,0.681607,54,3130.0,17945-R,0.654588,51,2950.0,12143-R,0.640098,46,1577.0,12129-R
155-S,slovenija,2023-03-25,202303,['K. M.'],648,0.508852,85,1586.0,1386-R,0.497414,66,3114.0,17945-R,0.494334,84,919.0,17924-R
156-S,slovenija,2023-03-25,202303,['K. M.'],184,0.341748,35,4002.0,21856-R,0.340752,49,3923.0,21855-R,0.319832,77,4328.0,21861-R
157-S,sportal,2023-03-25,202303,['STA/Katja Kodba'],166,0.93852,28,6.0,12112-R,0.388199,54,3088.0,17945-R,0.385505,47,1535.0,12129-R
158-S,slovenija,2023-03-25,202303,"['K. M.', 'STA/Katja Kodba']",347,0.437048,66,4516.0,6485-R,0.424108,54,3084.0,17945-R,0.406728,49,2904.0,12143-R
159-S,svet,2023-03-25,202303,"['K. M.', 'STA/Katja Kodba']",305,0.511009,67,4477.0,6485-R,0.504332,67,1517.0,1386-R,0.499488,73,4309.0,1422-R
